MEGA_NM,SCHOOL_NM,x,y
서울특별시,한영신학대학교,126.8511597607,37.4965563063
전라북도,한일장신대학교,127.2066734051,35.7630756476
대전광역시,혜천대학,127.3754876283,36.3037467603
광주광역시,호남대학교,126.7676086252,35.1505973535
전라북도,호원대학교,126.8647199790,35.9669303015
경기도,경민대학,127.0243151990,37.7462478565
대구광역시,경북외국어대학교,128.5615240564,35.9590783322
대구광역시,계명대학교,128.4866019075,35.8576741668
강원도,관동대학교,128.8740898060,37.7349589515
경기도,구세군사관학교,126.9869458389,37.4320020254
충청북도,극동대학교,127.6426713369,37.1274237696
경상북도,대구예술대학교,128.5089710197,36.0323462943
전라남도,대불대학교,126.4843767101,34.7477856709
경기도,동남보건대학,126.9871591419,37.2983838333
전라남도,동신대학교,126.7178799866,35.0518949994
경기도,루터대학교,127.1131646711,37.2653052540
서울특별시,세종대학교,127.0742850696,37.5507560832
경기도,수원여자대학,126.9633566570,37.2525110857
서울특별시,연세대학교,126.9403037895,37.5649218461
충청북도,영동대학교,127.7982861008,36.1941831116
경기도,용인대학교,127.1681485991,37.2264246543
경기도,웅지세무대학,126.7357405716,37.8184354326
서울특별시,인덕대학,127.0550403189,37.6310039665
서울특별시,장로회신학대학교,127.1034223755,37.5502056824
전라북도,전주기전대학,127.1361332151,35.8170841982
충청북도,주성대학,127.5528524517,36.7029027778
경상남도,진주보건대학,128.0664238401,35.1980449688
충청남도,천안연암대학,127.1542856093,36.9457521738
대전광역시,충남대학교,127.3442371546,36.3698126218
서울특별시,한국방송통신대학교,127.0034821916,37.5789959569
서울특별시,홍익대학교,126.9257356817,37.5507251300
인천광역시,한국폴리텍II대학남인천캠퍼스,126.6763623128,37.4720321098
강원도,한국폴리텍III대학강릉캠퍼스,128.8900696936,37.7373260211
충청남도,한국폴리텍IV대학아산캠퍼스,126.9498054893,36.7718145425
충청북도,한국폴리텍IV대학청주캠퍼스,127.4488304718,36.6389059680
광주광역시,한국폴리텍V대학,126.8794571196,35.1838705159
대구광역시,한국폴리텍VI대학대구캠퍼스,128.5531077130,35.8730596948
울산광역시,한국폴리텍VII대학울산캠퍼스,129.3479725615,35.5796040685
충청남도,한국폴리텍바이오대학,127.0212736873,36.1457672342
서울특별시,한국외국어대학교,127.0582844525,37.5974120574
