"읍면동","주....소","V3","V4"
"순창읍사무소","전라북도 순창군 순창읍 장류로 407-7",35.3767885,127.147111
"인계면사무소","전라북도 순창군 인계면 인덕로 227",35.4119002,127.141359
"동계면사무소","전라북도 순창군 동계면 동계1길 15",35.4411922,127.2426188
"적성면사무소","전라북도 순창군 적성면 적성로 135",35.3974551,127.2085861
"유등면사무소","전라북도 순창군 유등면 유등로 405",35.3613303,127.1874503
"풍산면사무소","전라북도 순창군 풍산면 금풍로 1006-1",35.3363769,127.1384086
"금과면사무소","전라북도 순창군 금과면 매우1길 12-3",35.3396285,127.0863778
"팔덕면사무소","전라북도 순창군 팔덕면 강천로 330",35.3915038,127.0970844
"복흥면사무소","전라북도 순창군 복흥면 추령로 1159",35.432363,126.9297017
"쌍치면사무소","전라북도 순창군 쌍치면 쌍계로 29-7",35.5005093,127.0013822
"구림면사무소","전라북도 순창군 구림면 구림로 477-5",35.4528682,127.1023451
"고창읍 행정복지센터","전라북도 고창군 고창읍 모양성로 26",35.4344607,126.7031062
"고수면 행정복지센터","전라북도 고창군 고수면 고인돌대로 1412",35.4099025,126.678538
"아산면 행정복지센터","전라북도 고창군 아산면 녹두로 786",35.4398645,126.6348219
"무장면 행정복지센터","전라북도 고창군 무장면 녹두로 6-8",35.4193882,126.5599316
"공음면 행정복지센터","전라북도 고창군 공음면 공음길 35",35.3776691,126.5114681
"상하면 행정복지센터","전라북도 고창군 상하면 상하로 84-11",35.4445066,126.4951873
"해리면 행정복지센터","전라북도 고창군 해리면 청해2길 38",35.4608584,126.5390908
"성송면 행정복지센터","전라북도 고창군 성송면 대성로 770",35.3643394,126.6466139
"대산면 행정복지센터","전라북도 고창군 대산면 대성로 273",35.341039,126.6034305
"심원면 행정복지센터","전라북도 고창군 심원면 심원로 211",35.5242085,126.5510838
"흥덕면 행정복지센터","전라북도 고창군 흥덕면 문화2길 27",35.5177501,126.703488
"성내면 행정복지센터","전라북도 고창군 성내면 시기2길 6",35.5381001,126.7432815
"신림면 행정복지센터","전라북도 고창군 신림면 신림로 136",35.4891847,126.7121633
"부안면 행정복지센터","전라북도 고창군 부안면 인촌로 1246",35.5142593,126.6741335
"부안읍행정복지센터","전라북도 부안군 부안읍 석정로 182 ",35.7294633,126.7366882
"주산면사무소","전라북도 부안군 주산면 주산로 8",35.6718913,126.7110787
"동진면사무소","전라북도 부안군 동진면 동진로 89",35.7495483,126.738846
"행안면사무소","전라북도 부안군 행안면 번영로 33",35.7262323,126.7239235
"계화면사무소","전라북도 부안군 계화면 간재로 405",35.7614421,126.6977884
"보안면사무소","전라북도 부안군 보안면 영전길 19-29",35.6120877,126.6712561
"변산면사무소","전라북도 부안군 변산면 지서로 77-1",35.6635722,126.5284307
"진서면사무소","전라북도 부안군 진서면 청자로 926",35.5876195,126.6055708
"백산면사무소","전라북도 부안군 백산면 백산로 335",35.7040196,126.7868065
"상서면사무소","전라북도 부안군 상서면 부안로 2001",35.6863547,126.6780658
"하서면사무소","전라북도 부안군 하서면 하서길 28-5",35.7155618,126.6620463
"줄포면사무소","전라북도 부안군 줄포면 줄포4길 9-7",35.5912027,126.6776401
"위도면사무소","전라북도 부안군 위도면 진리안길 5",35.6024234,126.2930283
