공원명,위도,경도
금파공원,35.80965192,127.098195
물빛채공원,35.811213,127.101282
이바디공원,35.81069673,127.1011168
토방공원,35.809807,127.101497
불빛공원,35.805541,127.1024189
나무향공원,35.809874,127.105874
용호근린공원,35.80689806,127.104279
모꼬지공원,35.81309246,127.1127717
우전공원,35.7991459,127.1041882
신주공원,35.8010698,127.1024329
천잠공원,35.81021565,127.0844872
백로공원,35.8008763,127.1074326
모롱지공원,35.83650064,127.1033146
서중공원,35.8352748,127.1001981
신덕공원,35.8341299,127.1025975
양지뜸공원,35.8323436,127.0983313
서곡공원,35.8337889,127.1041528
서곡공원,35.829822,127.0987812
문학대2공원,35.82766862,127.1097689
마전숲,35.8187033,127.1106341
서부제5공원,35.82960936,127.09707
서부제4공원,35.8302066,127.0996597
문학대1공원,35.82918842,127.1051164
효자제1호공원,35.82710278,127.1014206
효자제2호공원,35.826979,127.1033266
효자제3호공원,35.82331738,127.0996972
효자제4호공원,35.82000442,127.0996948
효자제5호공원,35.8164307,127.0962956
바위백이공원,35.81700271,127.0999915
효자묘지공원,35.8268731,127.0914375
효자공원,35.8371983,127.1048155
이목대공원,35.8144091,127.1560596
역사도심공원,35.820872,127.140471
덕진공원,35.84749476,127.1210312
팔복첨단산업3-1,35.85988555,127.0898288
진북공원,35.82791173,127.132693
가련산공원,35.8436246,127.1192136
오공공원,35.83284416,127.0536117
정문공원,35.83277155,127.0665021
금암공원,35.8368538,127.1294517
인후공원,35.8418516,127.1605317
황방산공원,35.8393425,127.0974924
꾀꼬리공원,35.84330727,127.1372986
금암체련공원,35.83858803,127.1413128
우아2공원,35.85063052,127.1547067
소공공원,35.85382317,127.1568998
동신공원,35.8508605,127.1586183
우아1공원,35.85063052,127.1547065
황산공원,35.8452209,127.1558857
신기공원,35.84730413,127.1630224
구숙사공원,35.84090844,127.1471596
금평공원,35.8448602,127.1495855
숲정이공원,35.83032678,127.1302488
는들공원,35.833529,127.0658053
산정공원,35.83570289,127.170663
하인교공원,35.8249724,127.1713421
수성로공원,35.8263103,127.175069
호동골공원,35.8254205,127.1772739
석소공원,35.8342553,127.1692889
왜들공원,35.8321076,127.1719287
오동제공원,35.8287199,127.1704995
진버들공원,35.83554001,127.1633275
북가재미공원,35.8319092,127.1614937
도란길공원,35.8342223,127.1633686
구총목공원,35.8292439,127.1625277
꿈마을공원,35.8303238,127.1668328
가재미공원,35.8261569,127.1621407
하평공원,35.8280352,127.1654985
한범로공원,35.8238151,127.1672959
문화로공원,35.82710272,127.1700718
북일길공원,35.8429704,127.1551273
안골공원,35.84081571,127.1570832
안골노인복지공원,35.8381589,127.1571397
언덕공원,35.83528072,127.1535205
팔과공원,35.8596025,127.0900692
팔복지구 3호공원,35.8558169,127.0932998
신덕공원,35.83771473,127.1662817
중상보공원,35.83053163,127.1711276
아람길공원,35.83102485,127.1678172
팔복공원,35.85144205,127.0870282
붓내공원,35.868031,127.1253815
솔내공원,35.8668845,127.1268701
송천제2호공원,35.86142033,127.1176708
송천유적공원,35.86501667,127.1187477
나들목공원,35.8754524,127.0555936
아중18호공원,35.8344393,127.1692888
하늘공원,35.8452358,127.1071352
쇠똥구리공원,35.85229684,127.1186639
반딧불이공원,35.85229684,127.1186639
여울목공원,35.85229684,127.1186639
월평공원,35.835815,127.073567
월방공원,35.83466855,127.0726077
월방공원,35.83466855,127.0726077
기린공원,35.82258424,127.1692571
마당재공원,35.82402423,127.162349
기지재,35.84124785,127.0644982
여의공원,35.87151609,127.0760843
179호 붓내구역,35.8680381,127.1235233
160호 붓내구역,35.8687265,127.122497
우아구역,35.84331326,127.1648847
원중공원,35.843344,127.0638563
정문공원,35.835826,127.0599446
중동공원,35.833591,127.0621413
만성어린 5,35.8398361,127.0719803
만성수변,35.8435031,127.0704111
만성어린 1,35.8456323,127.0817119
만성지구 1,35.841164,127.0744742
만성어린 4,35.8378935,127.0759124
만성어린 2,35.8418104,127.0794203
만성문화,35.84938801,127.079261
종광대,35.8308589,127.1513332
만성어린 3,35.8451605,127.0783565
동산구역,35.86992524,127.0792306
서찰방공원,35.8343406,127.067871
찰방공원,35.83393617,127.0696925
오정공원,35.834749,127.0605874
느티나무공원,35.8283609,127.1349598
건산공원,35.8318687,127.1425954
원장동공원,35.84130384,127.0555798
만성지구 2,35.8351751,127.0712343
엽순공원,35.8430173,127.0607347
송천유남공원,35.8634308,127.130367
에코시티7호,35.87470624,127.1399388
에코시티8호,35.87145141,127.1394612
에코시티1호,35.8769132,127.114948
에코시티2호,35.8769132,127.114948
에코시티3호,35.8769132,127.114948
에코시티4호,35.8769132,127.114948
에코시티5호,35.8769132,127.114948
에코시티6호,35.8769132,127.114948
에코시티9호,35.8769132,127.114948
백석공원,35.88165646,127.1241909
세병공원,35.87592143,127.1320572
붓내공원,35.87140771,127.1296104
화정공원,35.8716158,127.1364965
팔복문화공원,35.86133297,127.1009481
철도178호,35.82991351,127.1764064
에코시티 1호공원,35.8769132,127.114948
에코시티5호,35.87558642,127.1112869
제187호 근린공원,35.8255237,127.1762275
동산구역B,35.8698979,127.0792306
동산구역A,35.870165,127.080703
추천대공원,35.845709,127.1041981
한풍루공원,36.003762,127.662557
어린이공원,36.008983,127.665598
제일공원,36.01146024,127.6605801
단지공원,35.861545,127.6592666
무주공원,36.00930536,127.6684269
소공원,36.00940224,127.663876
소공원,36.008443,127.6652871
벽천공원,36.00923239,127.659961
벽천공원,36.0086181,127.659697
어린이공원,36.010824,127.788932
생태모험공원,36.00441544,127.678244
배매산 자연공원,35.9495969,127.1182195
중앙공원,35.94312932,127.1268386
매동공원,35.952055,127.1407432
명동자연공원,35.94483988,127.1181844
학골공원,35.9433504,127.1372115
다복공원,35.9395532,127.1319158
완주공설공원묘지,35.93914397,127.1001896
삼례신금근린공원,35.92163053,127.0940231
고운산근린공원,35.9808294,127.2129122
신월희망공원,35.9263651,127.1625849
둔산어린이공원,35.9634281,127.1263916
제2어린이공원,35.95986128,127.1243945
신월햇살공원,35.9280614,127.1608183
둔산공원,35.9609127,127.1284052
우동공원,35.96151635,127.1234221
생강골공원,35.93122461,127.1591568
봉동장기어린이공원,35.93866627,127.1645537
근린공원 4호,35.921591,127.119151
근린공원 5호,35.919681,127.113471
근린공원 10호,35.924251,127.116131
어린이공원 6호,35.921411,127.112191
어린이공원 7호,35.920611,127.116371
어린이공원 8호,35.919021,127.115881
어린이공원 9호,35.925811,127.121841
어린이공원 19호,35.921661,127.117621
삼례수도산근린공원,35.90335386,127.069009
소리공원,35.836145,127.0550234
새라공원,35.8332382,127.0570745
초록공원,35.83169047,127.0343136
설화공원,35.83502029,127.0246549
윤슬공원,35.83203568,127.0474664
노을공원,35.83169047,127.0343136
산들공원,35.8391906,127.0541614
병아리공원,35.8335799,127.0540985
비행기공원,35.8308576,127.0234643
씽씽공원,35.8306749,127.0215346
기차공원,35.83089165,127.018643
고산문화공원,35.97398096,127.2315259
새누공원,35.72921777,127.1236426
용암소공원,35.96010717,127.1343031
수도산근린공원,35.9010944,127.0690832
우주공원,35.97337174,127.1124526
찬누리공원,35.9767881,127.1173621
소예공원,35.9718315,127.113905
만경강수변생태공원,35.97450949,127.2030509
장기늘푸름공원,35.9364634,127.1654274
깡쇠어린이공원,35.91778414,127.0729496
삼례충혼탑어린이공원,35.90801738,127.0716715
고산어린이공원,35.97597896,127.209547
서여공원,35.9175984,127.073193
참사랑공원,35.9116689,127.0773335
정농함박골공원,35.83777547,127.0232659
정농통일공원,35.83547585,127.033992
용소공원,35.83331364,127.023584
지사울공원,35.82892818,127.0226256
대아전통문화공원,35.98879374,127.2613407
소공원 12호,35.919561,127.119831
소공원 13호,35.920861,127.122871
소공원 14호,35.924411,127.123911
소공원 15호,35.920341,127.114031
소공원 16호,35.920811,127.115521
소공원 17호,35.922291,127.120421
소공원 18호,35.922331,127.122411
공원,35.902739,127.162781
공원,35.902739,127.162781
정읍사공원,35.55073015,126.8615763
수성공원,35.58216187,126.8538212
공단공원,35.5941738,126.8687801
두산공원,35.5796117,126.8546554
무지개공원,35.58701697,126.858958
행복공원,35.58502319,126.8619807
멧골공원,35.5839691,126.8641495
마곡공원,35.58359974,126.8624995
녹색공원,35.5834117,126.8588898
쉼터공원,35.58140897,126.8573178
사랑공원,35.58445371,126.8559354
수성공원,35.58437332,126.8550441
제일공원,35.58294269,126.855563
장명1호공원(말고개),35.56824281,126.8635318
달빛공원,35.57786655,126.8525536
연곡공원,35.7104481,126.7348038
서림공원,35.7329193,126.731487
진동공원,35.7106099,126.7182405
재장공원,35.7561616,126.7059579
용계공원,35.7468787,126.6951309
덕화공원,35.7583693,126.7064186
봉황공원,35.7494981,126.7366991
수문공원,35.7661863,126.6973402
화상공원,35.7618901,126.7014376
중앙공원,35.7605095,126.698533
염창공원,35.7620888,126.6919135
계화공원,35.7916062,126.632929
계상공원,35.7923564,126.640665
동돈공원,35.7539747,126.6397581
돈지공원,35.7543065,126.647679
의복공원,35.7456296,126.6446838
상서공원,35.69152331,126.6788984
백산공원,35.719531,126.8065894
오곡공원,35.7149915,126.8017303
줄포공원,35.593708,126.6752466
부안자연생태공원,35.5809023,126.6689405
원장공원,35.5940116,126.6834614
제1호근린공원,35.6815594,126.5356747
제2호근린공원,35.6803815,126.5313881
범산공원,35.5922462,126.6145055
백련공원,35.7147319,126.6001006
진서공원,35.5903398,126.6142537
매창공원,35.7209372,126.7282973
부안공원,35.7310821,126.7342023
제3농공단지,35.7380051,126.7276523
1호공원(봉황공원),35.61581085,127.2797664
사선대공원,35.67205403,127.2769656
공원,35.54520338,127.3326779
원동산공원,35.5372736,127.3288592
관촌어린이공원,35.67641434,127.2727289
생활권공원,35.66070468,127.1585706
생활권공원,35.659023,127.1609714
공원,35.616891,127.2875367
공원,35.616736,127.2851024
운수사공원,35.617878,127.2855868
치즈공원,35.6116209,127.274088
사계절장미원,35.63116139,127.303569
공원,35.6066759,127.1123495
공원,35.992815,126.7591033
공원,35.9964665,126.7516291
공원,36.003396,126.759171
공원,35.96369046,126.723329
나운제2소공원,35.964497,126.697575
나운제1소공원,35.964497,126.697575
공원,35.98485064,126.7060054
비응로공원,35.934547,126.5261485
공원,35.9614909,126.735417
공원,35.96261523,126.736339
공원,35.96642381,126.732832
공원,35.965947,126.7321931
공원,35.965602,126.731714
공원,35.965473,126.730884
공원,35.965466,126.730197
공원,35.965457,126.729409
공원,35.893703,126.674632
공원,35.894465,126.674265
공원,35.894078,126.673541
공원,35.982219,126.708927
비응남로공원,35.939679,126.528607
비응동로공원,35.937709,126.5328417
제92호,35.98162066,126.743341
제91호,35.98162066,126.743341
98호 공원,35.962973,126.732199
97호 공원,35.9604195,126.735388
96호 공원,35.967995,126.729868
95호 공원,35.961096,126.732018
94호 공원,35.962657,126.727914
93호 공원,35.966231,126.725861
54호 공원,35.950265,126.596068
53호 공원,36.006081,126.759074
83호 공원,35.954123,126.801587
수송안8길 공원,35.961816,126.718327
동수송7길 공원,35.965836,126.718329
남수송4길 공원,35.960659,126.713767
남수송5길 공원,35.960818,126.710129
축동1길 공원,35.965254,126.713671
서수송1길 공원,35.965054,126.706756
황룡안길 공원,35.94415438,126.686269
미룡주공1차 공원,35.94039037,126.6877612
황룡2길 공원,35.941039,126.690467
미룡주공3차 공원,35.94300031,126.690135
미룡주공2차 공원,35.944097,126.688211
미제4길 공원,35.945598,126.689539
제60공원,35.950098,126.713949
동지곡길 공원,35.95440511,126.707262
분멀2길 공원,35.96297562,126.570943
요죽2길 공원,35.96262834,126.564021
요죽4길 공원,35.964548,126.563865
요죽5길 공원,35.966955,126.564687
요죽길 공원,35.969774,126.563793
신평3길 공원,35.958202,126.712377
상지곡안3길 공원,35.957196,126.709411
상지곡안2길 공원,35.958761,126.7065729
동원중 뒤 공원,35.959125,126.701853
늘푸른공원,35.960746,126.6983089
나운주공4차 공원,35.96720877,126.709969
나운주공5차 공원,35.96879711,126.708469
동검다메길 공원,35.970604,126.742288
부골3길 공원,35.974097,126.740526
검다메2길 공원,35.968854,126.739522
신촌2길 공원,35.96589408,126.7368976
조촌3길 공원,35.96726301,126.735169
조촌안1길 공원,35.96894059,126.736817
조촌안5길 공원,35.970575,126.735185
조촌안3길 공원,35.972267,126.736707
조촌안4길 공원,35.973546,126.734946
조촌5길 공원,35.974853,126.736677
부곡로 공원,35.957172,126.687984
현충로 공원,35.960594,126.6885726
부곡3길 공원,35.961141,126.690801
부곡5길 공원,35.963248,126.689857
상나운2길 공원,35.963819,126.692608
하나운안2길 공원,35.963314,126.6949989
신설4길 공원,35.96621349,126.694077
신설1길 공원,35.968911,126.695862
상신안길 공원,35.96953295,126.693333
하신1길 공원,35.968455,126.699605
하신3길 공원,35.969067,126.701989
상신3길 공원,35.971326,126.696742
상신2길 공원,35.972929,126.693334
상신7길 공원,35.973935,126.696256
칠성안4길 공원,35.956675,126.677229
사전안1길 공원,35.95660801,126.671389
칠성안3길 공원,35.959835,126.6760969
원산북1길 공원,35.963063,126.677023
부원로 공원,35.96305185,126.6808529
칠성안2길 공원,35.967226,126.681942
칠성4길 공원,35.969019,126.677267
소룡길 공원,35.969507,126.6835488
소룡2길 공원,35.973479,126.677648
소룡안2길 공원,35.970541,126.680102
설림안4길 공원,35.973125,126.682354
백릉안2길 공원,35.972554,126.730517
양안1길 공원,35.97087092,126.739489
풍남길 공원,35.975945,126.716363
